Parcel_ID,O_zone,D_zone,DepotNumber,CEP,Network,Type
89791,2287,2668,1.0,PostNL,conventional,tour-based
89797,2432,2662,10.0,DHL,conventional,tour-based
89815,2316,4604,14.0,DPD,conventional,tour-based
89821,2259,2668,1.0,PostNL,conventional,tour-based
89841,2270,2668,1.0,PostNL,conventional,tour-based
89850,2427,4604,14.0,DPD,conventional,tour-based
89889,2389,2662,10.0,DHL,conventional,tour-based
89904,2410,2668,1.0,PostNL,conventional,tour-based
89913,2461,2668,1.0,PostNL,conventional,tour-based
89933,2465,2662,10.0,DHL,conventional,tour-based
89958,2375,2668,1.0,PostNL,conventional,tour-based
89964,2461,2668,1.0,PostNL,conventional,tour-based
89972,2296,2668,1.0,PostNL,conventional,tour-based
89975,2441,2668,1.0,PostNL,conventional,tour-based
89985,2401,2668,1.0,PostNL,conventional,tour-based
90027,2396,2668,1.0,PostNL,conventional,tour-based
90050,2343,2668,1.0,PostNL,conventional,tour-based
90056,2423,4604,14.0,DPD,conventional,tour-based
90067,2469,2668,1.0,PostNL,conventional,tour-based
90081,2376,1044,7.0,DHL,conventional,tour-based
90090,2342,4604,14.0,DPD,conventional,tour-based
90118,2441,2668,1.0,PostNL,conventional,tour-based
90121,2429,2668,1.0,PostNL,conventional,tour-based
90145,2389,2668,1.0,PostNL,conventional,tour-based
90148,2399,2668,1.0,PostNL,conventional,tour-based
90160,2324,2668,1.0,PostNL,conventional,tour-based
90188,2366,2668,1.0,PostNL,conventional,tour-based
90231,2348,2668,1.0,PostNL,conventional,tour-based
90237,2401,2668,1.0,PostNL,conventional,tour-based
90309,2341,4604,14.0,DPD,conventional,tour-based
90318,2364,4604,14.0,DPD,conventional,tour-based
90329,2447,2668,1.0,PostNL,conventional,tour-based
90440,2343,4604,14.0,DPD,conventional,tour-based
90518,2375,2662,10.0,DHL,conventional,tour-based
90520,2420,2662,10.0,DHL,conventional,tour-based
90522,2448,2662,10.0,DHL,conventional,tour-based
90524,2341,4604,14.0,DPD,conventional,tour-based
90560,2343,4604,14.0,DPD,conventional,tour-based
90609,2295,2668,1.0,PostNL,conventional,tour-based
90636,2433,2668,1.0,PostNL,conventional,tour-based
90649,2335,1044,7.0,DHL,conventional,tour-based
90763,2501,4604,14.0,DPD,conventional,tour-based
90837,2429,2668,1.0,PostNL,conventional,tour-based
90854,2415,4604,14.0,DPD,conventional,tour-based
90862,2398,4604,14.0,DPD,conventional,tour-based
90868,2375,2668,1.0,PostNL,conventional,tour-based
90872,2290,2668,1.0,PostNL,conventional,tour-based
90936,2362,2668,1.0,PostNL,conventional,tour-based
90944,2423,2668,1.0,PostNL,conventional,tour-based
90945,2312,2668,1.0,PostNL,conventional,tour-based
90981,2420,2668,1.0,PostNL,conventional,tour-based
90984,2428,2668,1.0,PostNL,conventional,tour-based
90986,2465,2668,1.0,PostNL,conventional,tour-based
90993,2457,2668,1.0,PostNL,conventional,tour-based
91001,2430,4604,14.0,DPD,conventional,tour-based
91030,2316,1044,7.0,DHL,conventional,tour-based
91044,2392,4604,14.0,DPD,conventional,tour-based
91066,2324,2668,1.0,PostNL,conventional,tour-based
91104,2294,4604,14.0,DPD,conventional,tour-based
91161,2441,4604,14.0,DPD,conventional,tour-based
91209,2438,2668,1.0,PostNL,conventional,tour-based
91228,2447,2668,1.0,PostNL,conventional,tour-based
91250,2376,2668,1.0,PostNL,conventional,tour-based
91286,2311,4604,14.0,DPD,conventional,tour-based
91345,2261,4604,14.0,DPD,conventional,tour-based
91411,2385,2668,1.0,PostNL,conventional,tour-based
91460,2292,4604,14.0,DPD,conventional,tour-based
91479,2369,2662,10.0,DHL,conventional,tour-based
91489,2433,2662,10.0,DHL,conventional,tour-based
91491,2375,2662,10.0,DHL,conventional,tour-based
91516,2336,4604,14.0,DPD,conventional,tour-based
91518,2421,4604,14.0,DPD,conventional,tour-based
91544,2303,2668,1.0,PostNL,conventional,tour-based
91559,2389,2668,1.0,PostNL,conventional,tour-based
91580,2441,2668,1.0,PostNL,conventional,tour-based
91677,2356,2662,10.0,DHL,conventional,tour-based
91721,2503,4604,14.0,DPD,conventional,tour-based
91734,2297,4604,14.0,DPD,conventional,tour-based
91750,2385,2668,1.0,PostNL,conventional,tour-based
91815,2449,2668,1.0,PostNL,conventional,tour-based
91816,2457,2668,1.0,PostNL,conventional,tour-based
91836,2295,2668,1.0,PostNL,conventional,tour-based
91857,2466,2668,1.0,PostNL,conventional,tour-based
91893,2319,2668,1.0,PostNL,conventional,tour-based
91948,2466,4604,14.0,DPD,conventional,tour-based
91958,2275,2662,10.0,DHL,conventional,tour-based
91992,2311,4604,14.0,DPD,conventional,tour-based
92045,2501,2668,1.0,PostNL,conventional,tour-based
92082,2341,4604,14.0,DPD,conventional,tour-based
92109,2359,2662,10.0,DHL,conventional,tour-based
92128,2433,2668,1.0,PostNL,conventional,tour-based
92145,2335,1044,7.0,DHL,conventional,tour-based
92224,2296,4604,14.0,DPD,conventional,tour-based
92314,2391,2662,10.0,DHL,conventional,tour-based
92322,2317,1044,7.0,DHL,conventional,tour-based
92324,2429,4604,14.0,DPD,conventional,tour-based
92384,2330,4604,14.0,DPD,conventional,tour-based
92430,2441,2668,1.0,PostNL,conventional,tour-based
92475,2315,4604,14.0,DPD,conventional,tour-based
92495,2445,4604,14.0,DPD,conventional,tour-based
92502,2385,2668,1.0,PostNL,conventional,tour-based
92533,2424,4604,14.0,DPD,conventional,tour-based
92542,2412,2668,1.0,PostNL,conventional,tour-based
92571,2295,2668,1.0,PostNL,conventional,tour-based
92583,2401,2662,10.0,DHL,conventional,tour-based
92584,2461,2662,10.0,DHL,conventional,tour-based
92588,2415,2662,10.0,DHL,conventional,tour-based
92621,2313,2668,1.0,PostNL,conventional,tour-based
92629,2461,2668,1.0,PostNL,conventional,tour-based
92637,2427,2668,1.0,PostNL,conventional,tour-based
92641,2433,2668,1.0,PostNL,conventional,tour-based
92646,2405,2668,1.0,PostNL,conventional,tour-based
92689,2459,2662,10.0,DHL,conventional,tour-based
92710,2341,1044,7.0,DHL,conventional,tour-based
92713,2312,1044,7.0,DHL,conventional,tour-based
92727,2341,1044,7.0,DHL,conventional,tour-based
92781,2420,4604,14.0,DPD,conventional,tour-based
92787,2367,4604,14.0,DPD,conventional,tour-based
92889,2262,2668,1.0,PostNL,conventional,tour-based
92910,2295,2668,1.0,PostNL,conventional,tour-based
92929,2415,2668,1.0,PostNL,conventional,tour-based
92954,2429,2668,1.0,PostNL,conventional,tour-based
92959,2294,4604,14.0,DPD,conventional,tour-based
92983,2391,2662,10.0,DHL,conventional,tour-based
93012,2295,4604,14.0,DPD,conventional,tour-based
93070,2410,4604,14.0,DPD,conventional,tour-based
93084,2320,4604,14.0,DPD,conventional,tour-based
93140,2332,1044,7.0,DHL,conventional,tour-based
93144,2420,2662,10.0,DHL,conventional,tour-based
93170,2335,4604,14.0,DPD,conventional,tour-based
93190,2341,2668,1.0,PostNL,conventional,tour-based
93229,2343,2668,1.0,PostNL,conventional,tour-based
93235,2432,2668,1.0,PostNL,conventional,tour-based
93243,2312,2668,1.0,PostNL,conventional,tour-based
93286,2260,2668,1.0,PostNL,conventional,tour-based
93294,2343,1044,7.0,DHL,conventional,tour-based
93323,2420,2668,1.0,PostNL,conventional,tour-based
93360,2460,2668,1.0,PostNL,conventional,tour-based
93379,2398,2662,10.0,DHL,conventional,tour-based
93389,2367,4604,14.0,DPD,conventional,tour-based
93435,2424,4604,14.0,DPD,conventional,tour-based
93471,2386,2668,1.0,PostNL,conventional,tour-based
93485,2461,2668,1.0,PostNL,conventional,tour-based
93525,2420,2662,10.0,DHL,conventional,tour-based
93526,2389,2662,10.0,DHL,conventional,tour-based
93536,2290,4604,14.0,DPD,conventional,tour-based
93582,2472,2662,10.0,DHL,conventional,tour-based
93599,2399,4604,14.0,DPD,conventional,tour-based
93603,2340,4604,14.0,DPD,conventional,tour-based
93607,2389,4604,14.0,DPD,conventional,tour-based
93622,2469,2668,1.0,PostNL,conventional,tour-based
93643,2296,2668,1.0,PostNL,conventional,tour-based
93684,2341,1044,7.0,DHL,conventional,tour-based
93704,2385,4604,14.0,DPD,conventional,tour-based
93752,2297,2668,1.0,PostNL,conventional,tour-based
