Parcel_ID,O_zone,D_zone,CEP,Network,Type
89791,2287,2668,PostNL,conventional,tour-based
89791,2668,2256,PostNL,conventional,tour-based
89797,2432,2662,DHL,conventional,tour-based
89797,2662,2257,DHL,conventional,tour-based
89815,2316,4604,DPD,conventional,tour-based
89815,4604,2257,DPD,conventional,tour-based
89821,2259,2668,PostNL,conventional,tour-based
89821,2668,2257,PostNL,conventional,tour-based
89841,2270,2668,PostNL,conventional,tour-based
89841,2668,2257,PostNL,conventional,tour-based
89850,2427,4604,DPD,conventional,tour-based
89850,4604,2257,DPD,conventional,tour-based
89852,6201,5501,DHL,conventional,tour-based
89852,5501,2662,DHL,conventional,consolidated
89852,2662,2258,DHL,conventional,tour-based
89860,7102,5501,DHL,conventional,tour-based
89860,5501,2662,DHL,conventional,consolidated
89860,2662,2259,DHL,conventional,tour-based
89878,339,2668,PostNL,conventional,tour-based
89878,2668,2259,PostNL,conventional,tour-based
89889,2389,2662,DHL,conventional,tour-based
89889,2662,2260,DHL,conventional,tour-based
89904,2410,2668,PostNL,conventional,tour-based
89904,2668,2260,PostNL,conventional,tour-based
89913,2461,2668,PostNL,conventional,tour-based
89913,2668,2260,PostNL,conventional,tour-based
89933,2465,2662,DHL,conventional,tour-based
89933,2662,2261,DHL,conventional,tour-based
89940,482,4604,DPD,conventional,tour-based
89940,4604,2261,DPD,conventional,tour-based
89948,2133,4604,DPD,conventional,tour-based
89948,4604,2261,DPD,conventional,tour-based
89957,7309,7399,PostNL,conventional,tour-based
89957,7399,2668,PostNL,conventional,consolidated
89957,2668,2261,PostNL,conventional,tour-based
89958,2375,2668,PostNL,conventional,tour-based
89958,2668,2261,PostNL,conventional,tour-based
89964,2461,2668,PostNL,conventional,tour-based
89964,2668,2261,PostNL,conventional,tour-based
89972,2296,2668,PostNL,conventional,tour-based
89972,2668,2261,PostNL,conventional,tour-based
89975,2441,2668,PostNL,conventional,tour-based
89975,2668,2261,PostNL,conventional,tour-based
89985,2401,2668,PostNL,conventional,tour-based
89985,2668,2261,PostNL,conventional,tour-based
89991,7263,4604,DPD,conventional,tour-based
89991,4604,2261,DPD,conventional,tour-based
90027,2396,2668,PostNL,conventional,tour-based
90027,2668,2262,PostNL,conventional,tour-based
90030,6705,2668,PostNL,conventional,tour-based
90030,2668,2262,PostNL,conventional,tour-based
90050,2343,2668,PostNL,conventional,tour-based
90050,2668,2264,PostNL,conventional,tour-based
90056,2423,4604,DPD,conventional,tour-based
90056,4604,2264,DPD,conventional,tour-based
90067,2469,2668,PostNL,conventional,tour-based
90067,2668,2265,PostNL,conventional,tour-based
90073,5749,4178,PostNL,conventional,tour-based
90073,4178,2668,PostNL,conventional,consolidated
90073,2668,2265,PostNL,conventional,tour-based
90075,7294,6955,PostNL,conventional,tour-based
90075,6955,2668,PostNL,conventional,consolidated
90075,2668,2265,PostNL,conventional,tour-based
90081,2376,1044,DHL,conventional,tour-based
90081,1044,2662,DHL,conventional,consolidated
90081,2662,2266,DHL,conventional,tour-based
90090,2342,4604,DPD,conventional,tour-based
90090,4604,2266,DPD,conventional,tour-based
90118,2441,2668,PostNL,conventional,tour-based
90118,2668,2267,PostNL,conventional,tour-based
90121,2429,2668,PostNL,conventional,tour-based
90121,2668,2267,PostNL,conventional,tour-based
90145,2389,2668,PostNL,conventional,tour-based
90145,2668,2268,PostNL,conventional,tour-based
90148,2399,2668,PostNL,conventional,tour-based
90148,2668,2268,PostNL,conventional,tour-based
90160,2324,2668,PostNL,conventional,tour-based
90160,2668,2268,PostNL,conventional,tour-based
90188,2366,2668,PostNL,conventional,tour-based
90188,2668,2269,PostNL,conventional,tour-based
90207,7160,5501,DHL,conventional,tour-based
90207,5501,2662,DHL,conventional,consolidated
90207,2662,2270,DHL,conventional,tour-based
90216,7060,4137,FedEx,conventional,tour-based
90216,4137,4604,FedEx,conventional,consolidated
90216,4604,2270,DPD,conventional,tour-based
90228,6150,4178,PostNL,conventional,tour-based
90228,4178,2668,PostNL,conventional,consolidated
90228,2668,2270,PostNL,conventional,tour-based
90231,2348,2668,PostNL,conventional,tour-based
90231,2668,2270,PostNL,conventional,tour-based
