Parcel_ID,O_zone,D_zone,DepotNumber,CEP,Network,Type
89791,2668,2256,1.0,PostNL,conventional,tour-based
89797,2662,2257,10.0,DHL,conventional,tour-based
89815,4604,2257,14.0,DPD,conventional,tour-based
89821,2668,2257,1.0,PostNL,conventional,tour-based
89841,2668,2257,1.0,PostNL,conventional,tour-based
89850,4604,2257,14.0,DPD,conventional,tour-based
89852,2662,2258,10.0,DHL,conventional,tour-based
89860,2662,2259,10.0,DHL,conventional,tour-based
89878,2668,2259,1.0,PostNL,conventional,tour-based
89889,2662,2260,10.0,DHL,conventional,tour-based
89904,2668,2260,1.0,PostNL,conventional,tour-based
89913,2668,2260,1.0,PostNL,conventional,tour-based
89933,2662,2261,10.0,DHL,conventional,tour-based
89940,4604,2261,14.0,DPD,conventional,tour-based
89948,4604,2261,14.0,DPD,conventional,tour-based
89957,2668,2261,1.0,PostNL,conventional,tour-based
89958,2668,2261,1.0,PostNL,conventional,tour-based
89964,2668,2261,1.0,PostNL,conventional,tour-based
89972,2668,2261,1.0,PostNL,conventional,tour-based
89975,2668,2261,1.0,PostNL,conventional,tour-based
89985,2668,2261,1.0,PostNL,conventional,tour-based
89991,4604,2261,14.0,DPD,conventional,tour-based
90027,2668,2262,1.0,PostNL,conventional,tour-based
90030,2668,2262,1.0,PostNL,conventional,tour-based
90050,2668,2264,1.0,PostNL,conventional,tour-based
90056,4604,2264,14.0,DPD,conventional,tour-based
90067,2668,2265,1.0,PostNL,conventional,tour-based
90073,2668,2265,1.0,PostNL,conventional,tour-based
90075,2668,2265,1.0,PostNL,conventional,tour-based
90081,2662,2266,10.0,DHL,conventional,tour-based
90090,4604,2266,14.0,DPD,conventional,tour-based
90118,2668,2267,1.0,PostNL,conventional,tour-based
90121,2668,2267,1.0,PostNL,conventional,tour-based
90145,2668,2268,1.0,PostNL,conventional,tour-based
90148,2668,2268,1.0,PostNL,conventional,tour-based
90160,2668,2268,1.0,PostNL,conventional,tour-based
90188,2668,2269,1.0,PostNL,conventional,tour-based
90207,2662,2270,10.0,DHL,conventional,tour-based
90216,4604,2270,14.0,DPD,conventional,tour-based
90228,2668,2270,1.0,PostNL,conventional,tour-based
90231,2668,2270,1.0,PostNL,conventional,tour-based
90237,2668,2270,1.0,PostNL,conventional,tour-based
90260,2668,2271,1.0,PostNL,conventional,tour-based
90266,2668,2271,1.0,PostNL,conventional,tour-based
90289,2662,2272,10.0,DHL,conventional,tour-based
90309,4604,2272,14.0,DPD,conventional,tour-based
90317,4604,2272,14.0,DPD,conventional,tour-based
90318,4604,2272,14.0,DPD,conventional,tour-based
90329,2668,2272,1.0,PostNL,conventional,tour-based
90335,2668,2272,1.0,PostNL,conventional,tour-based
90358,2668,2272,1.0,PostNL,conventional,tour-based
